beat_id,kind,job_id,model,resolution,quality,aspect_ratio,credits,provider_status,result_url
B003,REGEN,47de0fcb-99fa-438e-9fdb-b3b0069eebea,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163252_47de0fcb-99fa-438e-9fdb-b3b0069eebea.png
B012,REGEN,9c06166a-aa30-452b-a813-7fba30ee5f1d,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163255_9c06166a-aa30-452b-a813-7fba30ee5f1d.png
B014,REGEN,9379b0ad-2db2-4626-b311-0e16461eefc0,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163256_9379b0ad-2db2-4626-b311-0e16461eefc0.png
B015,REGEN,351ff9c9-c5dd-4fbe-8758-7db971af0064,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163252_351ff9c9-c5dd-4fbe-8758-7db971af0064.png
B017,REGEN,cdec4f7f-6260-4fea-a647-af611279f6cd,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163255_cdec4f7f-6260-4fea-a647-af611279f6cd.png
B022,NEW,1177555e-83a7-4418-908e-523618fe282a,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163254_1177555e-83a7-4418-908e-523618fe282a.png
B023,NEW,98452026-59da-422a-a85f-5250cc4d0eee,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_98452026-59da-422a-a85f-5250cc4d0eee.png
B024,NEW,32d1ee9b-6f54-4b52-84eb-ebc019cf9147,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_32d1ee9b-6f54-4b52-84eb-ebc019cf9147.png
B025,NEW,392fe112-7deb-4edb-81ee-7f4033d01872,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_392fe112-7deb-4edb-81ee-7f4033d01872.png
B026,NEW,813643f9-6718-4509-a8b9-597de5f487e0,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163303_813643f9-6718-4509-a8b9-597de5f487e0.png
B027,NEW,0637eab2-92dc-40ef-b576-ec7e4ee0c554,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_0637eab2-92dc-40ef-b576-ec7e4ee0c554.png
B028,NEW,5469d2fd-e242-495f-8210-5b4f1d34efa1,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163303_5469d2fd-e242-495f-8210-5b4f1d34efa1.png
B029,NEW,80ba2c3c-889d-45c5-885a-72e9a7ff5633,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_80ba2c3c-889d-45c5-885a-72e9a7ff5633.png
B030,NEW,516e824a-6482-4b2e-9728-26448b20d8f5,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_516e824a-6482-4b2e-9728-26448b20d8f5.png
B031,NEW,c54b4eab-c8df-4d63-bae5-6086d1c723d8,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163307_c54b4eab-c8df-4d63-bae5-6086d1c723d8.png
B032,NEW,f5de8391-59e5-46a0-9d59-fa1df446cf2b,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_f5de8391-59e5-46a0-9d59-fa1df446cf2b.png
B033,NEW,4190fc34-658e-4696-b14d-95e44c8e2eeb,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_4190fc34-658e-4696-b14d-95e44c8e2eeb.png
B035,NEW,0165ec28-0d54-49ed-a638-699e9e2d665a,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163308_0165ec28-0d54-49ed-a638-699e9e2d665a.png
B036,NEW,34e432e2-06b6-4dd1-88eb-1ab384546115,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163315_34e432e2-06b6-4dd1-88eb-1ab384546115.png
B037,NEW,644eed79-ff2b-484f-b5b8-8429819a85df,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_644eed79-ff2b-484f-b5b8-8429819a85df.png
B038,NEW,fe625d90-ff3e-4e5c-915a-014b7b12fec3,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_fe625d90-ff3e-4e5c-915a-014b7b12fec3.png
B039,NEW,b7fb7d04-2d03-457d-909f-7c10b008ceda,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_b7fb7d04-2d03-457d-909f-7c10b008ceda.png
B040,NEW,fa98f360-1edc-4ed4-830c-15aeee772f67,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163315_fa98f360-1edc-4ed4-830c-15aeee772f67.png
B042,NEW,3e44c604-53ac-4f49-b9c9-d7ce69b9343f,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163315_3e44c604-53ac-4f49-b9c9-d7ce69b9343f.png
B043,NEW,9ad09fdd-0d59-4fe6-98fb-98724dc27162,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163323_9ad09fdd-0d59-4fe6-98fb-98724dc27162.png
B044,NEW,955b02d0-6968-4fa7-a0ea-dd0a1ce7d262,gpt_image_2,1k,low,16:9,0.5,completed,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163324_955b02d0-6968-4fa7-a0ea-dd0a1ce7d262.png
